% Model,Multiple Magnets Simulation_2.mph
% Version,COMSOL 6.3.0.290
% Date,"Aug 17 2026, 10:16"
% Dimension,3
% Nodes,64
% Expressions,12
% Description,"Bx, By, Bz, Gxx, Gxy, Gxz, Gyx, Gyy, Gyz, Gzx, Gzy, Gzz"
% Length unit,m
% x,y,z,mfnc.Bx (T),mfnc.By (T),mfnc.Bz (T),d(mfnc.Bx;x) (T/m),d(mfnc.Bx;y) (T/m),d(mfnc.Bx;z) (T/m),d(mfnc.By;x) (T/m),d(mfnc.By;y) (T/m),d(mfnc.By;z) (T/m),d(mfnc.Bz;x) (T/m),d(mfnc.Bz;y) (T/m),d(mfnc.Bz;z) (T/m)
-1,-1,-0.2,6.120292174510646E-9,8.678155035578129E-10,-1.2054241771758553E-8,2.1321681663680336E-8,3.221520502933431E-9,-1.4964675894203733E-8,3.221520502933431E-9,-4.0821336310062856E-9,-1.7256755443825983E-8,-1.4964675894203733E-8,-1.7256755443825983E-8,-1.7339630649386904E-8
-0.7142857142857143,-1,-0.2,1.6554250928803265E-8,4.5954831055780214E-9,-1.6328931045684776E-8,5.553405440860577E-8,3.0258664973476846E-8,-1.2336990796751277E-8,3.0258664973476846E-8,-1.1319055952097815E-8,-2.9572387197079013E-8,-1.2336990796751277E-8,-2.9572387197079013E-8,-4.437501565446199E-8
-0.4285714285714286,-1,-0.2,3.7422909428003853E-8,2.5905760755947977E-8,-1.5698358604859816E-8,7.685267272182771E-8,1.3695274332691696E-7,2.625263722994044E-8,1.3695274332691696E-7,3.472208675835078E-8,-1.8212394026333878E-8,2.625263722994044E-8,-1.8212394026333878E-8,-1.1127582797015062E-7
-0.1428571428571429,-1,-0.2,3.812820526936958E-8,8.188854698067376E-8,1.0010492722912258E-9,-1.215178347706665E-7,2.0334978193372328E-7,7.498769037113268E-8,2.0334978193372328E-7,3.1444977518933896E-7,1.1978414650764046E-7,7.498769037113268E-8,1.1978414650764046E-7,-1.9365911340102787E-7
0.1428571428571428,-1,-0.2,-2.116646061293437E-8,9.585454635927268E-8,8.753268758663181E-9,-1.9554127044756196E-7,-1.3134131471154E-7,-3.421805969266738E-8,-1.3134131471154E-7,3.8597097872927526E-7,1.7258423976938713E-7,-3.421805969266738E-8,1.7258423976938713E-7,-1.9161175340452863E-7
0.4285714285714284,-1,-0.2,-4.181961992244637E-8,4.212162247239581E-8,-5.989525068087585E-9,2.9600725382038733E-8,-1.734974097614689E-7,-4.3212522724362186E-8,-1.734974097614689E-7,8.81527680852808E-8,3.111673105724712E-8,-4.3212522724362186E-8,3.111673105724712E-8,-1.172835360082056E-7
0.7142857142857142,-1,-0.2,-2.5564273315574153E-8,9.530517049719475E-9,-1.213536080259387E-8,6.084075112090614E-8,-6.275408380966716E-8,-4.188351354894116E-9,-6.275408380966716E-8,-1.0263128704331144E-8,-1.6047967716692194E-8,-4.188351354894116E-9,-1.6047967716692194E-8,-5.061703342963623E-8
1,-1,-0.2,-1.1874691914935007E-8,-2.5227678494998326E-10,-1.1119570431266661E-8,3.462078026651354E-8,-1.4668094671714795E-8,8.037094037861062E-9,-1.4668094671714795E-8,-1.5043809229295688E-8,-1.6443762656174972E-8,8.037094037861062E-9,-1.6443762656174972E-8,-1.9684861830747176E-8
-1,-0.7142857142857143,-0.2,5.679195797581284E-9,2.656396251727373E-10,-1.7973639347388216E-8,2.4370391493996485E-8,-7.01989140542162E-9,-3.00251353987689E-8,-7.01989140542162E-9,2.948580544986848E-9,-2.391843163676367E-8,-3.00251353987689E-8,-2.391843163676367E-8,-2.748193190499632E-8
-0.7142857142857143,-0.7142857142857143,-0.2,2.237679653967528E-8,-1.8639367566959587E-9,-2.814429751061062E-8,1.1407202307189111E-7,-9.825285697632485E-10,-3.648803867131553E-8,-9.825285697632485E-10,-2.964987833232097E-8,-5.4921772240503935E-8,-3.648803867131553E-8,-5.4921772240503935E-8,-8.477146741374264E-8
