Quantity,Method,RMSE,MAE,NRMSE,R2,MaxError
Bx,RBF,0.00165648493008047,0.000731334001179055,0.0348960790185712,0.895100094508704,0.0162061138399242
Bx,Global Ordinary Kriging,0.00165486417908161,0.00065267692954246,0.0348619357227894,0.895305268065092,0.0120030422853287
Bx,Smoothing TPS,0.00206093502591381,0.000817475193966878,0.0434163632946154,0.83762142759338,0.0129434131329511
By,RBF,0.00194268052652481,0.00113919440246132,0.0407118731228017,0.901530241483773,0.0103972610553031
By,Global Ordinary Kriging,0.00176062617151988,0.000788693851596299,0.0368966427227354,0.919121254592459,0.0112550134605417
By,Smoothing TPS,0.00207307720205697,0.00100743257587136,0.0434445370052144,0.887867617304226,0.011776898223371
Bz,RBF,0.00267896547717249,0.00122879102955498,0.0460830891115294,0.884002201804133,0.0250540492247397
Bz,Global Ordinary Kriging,0.00283768961382616,0.00121829593538896,0.0488134335657183,0.869849664207476,0.0202338071988123
Bz,Smoothing TPS,0.00324637931442365,0.00150614328980829,0.0558436413276624,0.829661022285315,0.0215701223517519
|B|,RBF,0.00304305411173537,0.00144246486143438,0.0687730752553095,0.88306088717941,0.0263121914185812
|B|,Global Ordinary Kriging,0.00294538615264092,0.00119928491206959,0.0665657777002211,0.890446835743876,0.0206296380301325
|B|,Smoothing TPS,0.00346281663989923,0.00150011191744373,0.078259715610288,0.848574353664344,0.0220390001810879
Ct_2D,RBF,1.28118971860629e-06,5.3574579210809e-07,0.104735919688228,0.730837132689677,8.13325432728542e-06
Ct_2D,Global Ordinary Kriging,1.50848253375083e-06,5.80749519907735e-07,0.123316869634179,0.626862559391861,8.72089959635991e-06
Ct_2D,Smoothing TPS,1.99431746005197e-06,7.69402068538827e-07,0.163033366796024,0.34780593959705,9.56824070934193e-06
