% Magnetic field reconstruction point table
% Method: Separable Global Ordinary Kriging
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
-99	-99	-20	-7.89180000396e-05	0.000286829999996	-0.00027203999991
-97	-99	-20	-6.54293652901e-05	0.000290424264146	-0.000314088198686
-95	-99	-20	-6.03153955681e-05	0.000293355936834	-0.000339718075877
-93	-99	-20	-6.20803581887e-05	0.000295806740918	-0.000352307290867
-91	-99	-20	-6.88093565635e-05	0.000297975341035	-0.000355982873985
-89	-99	-20	-7.85271636965e-05	0.000300029833733	-0.000354805003644
-87	-99	-20	-8.95274282599e-05	0.000302070509227	-0.00035205689847
-85	-99	-20	-0.000100599991856	0.000304112625257	-0.000349805938641
-83	-99	-20	-0.00011111279454	0.000306093616487	-0.000348825506088
-81	-99	-20	-0.00012094483932	0.000307902313068	-0.000348865691658
-79	-99	-20	-0.000130306339414	0.000309421352032	-0.000349163624168
-77	-99	-20	-0.000139510000029	0.000310569999995	-0.000349019999921
-75	-99	-20	-0.000148765579586	0.000311334371272	-0.000348257024402
-73	-99	-20	-0.000158056684037	0.0003117757182	-0.000347417919254
-71	-99	-20	-0.000167128929087	0.00031201406696	-0.000347655408541
-69	-99	-20	-0.000175581818056	0.000312192010327	-0.000350358871422
-67	-99	-20	-0.000183024385815	0.000312429641387	-0.000356654981244
-65	-99	-20	-0.000189236524065	0.000312784489077	-0.000366957762455
-63	-99	-20	-0.00019427888862	0.000313228962363	-0.000380728024171
-61	-99	-20	-0.000198513267119	0.000313652596305	-0.00039653407402
-59	-99	-20	-0.000202525602027	0.000313888897352	-0.000412407093202
-57	-99	-20	-0.000206975597697	0.000313759102975	-0.00042638705333
-55	-99	-20	-0.000212420000025	0.000313119999995	-0.000437089999913
-53	-99	-20	-0.000219164268456	0.000311901666333	-0.000444116248501
-51	-99	-20	-0.000227187600602	0.000310123983881	-0.000448165865335
-49	-99	-20	-0.000236162745033	0.000307887074441	-0.00045081848709
-47	-99	-20	-0.000245562532022	0.000305338493059	-0.000454040592122
-45	-99	-20	-0.0002548189288	0.000302626749197	-0.000459570991236
-43	-99	-20	-0.000263485652809	0.000299854536572	-0.000468376227832
-41	-99	-20	-0.000271356098028	0.000297044898882	-0.000480348010768
-39	-99	-20	-0.000278503728977	0.000294129624525	-0.000494340155011
-37	-99	-20	-0.000285236852376	0.000290962742492	-0.000508535857526
-35	-99	-20	-0.000291985801073	0.000287355037314	-0.000521031093298
-33	-99	-20	-0.00029916000002	0.000283119999998	-0.000530449999908
-31	-99	-20	-0.000307019497855	0.000278119012392	-0.000536396056269
-29	-99	-20	-0.000315598765525	0.000272294321189	-0.000539593192928
-27	-99	-20	-0.000324702660884	0.000265682008172	-0.000541668379002
-25	-99	-20	-0.000333971488919	0.000258402486627	-0.000544641188245
-23	-99	-20	-0.000342991346689	0.000250631540124	-0.000550280186117
-21	-99	-20	-0.000351413650845	0.000242559230266	-0.000559530374083
-19	-99	-20	-0.000359047186507	0.000234346297438	-0.000572195639279
-17	-99	-20	-0.000365896682041	0.000226087741228	-0.000586980924172
-15	-99	-20	-0.000372139874718	0.000217791391802	-0.000601885264144
-13	-99	-20	-0.000378054340195	0.00020937606513	-0.000614824787653
-11	-99	-20	-0.000383920000015	0.000200690000002	-0.000624289999903
-9	-99	-20	-0.000389928973923	0.000191546304069	-0.000629828447557
-7	-99	-20	-0.000396130076267	0.000181768608793	-0.000632197090829
-5	-99	-20	-0.000402422732832	0.000171237547545	-0.000633132146945
-3	-99	-20	-0.00040859878347	0.000159927555864	-0.000634805381488
-1	-99	-20	-0.000414415817352	0.000147924358196	-0.000639136364961
1	-99	-20	-0.000419676869445	0.000135416666303	-0.000647177825459
3	-99	-20	-0.000424290873881	0.000122660933163	-0.00065877020374
5	-99	-20	-0.000428295866279	0.000109924679221	-0.000672577864161
7	-99	-20	-0.000431839720789	9.74204404972e-05	-0.000686499161431
9	-99	-20	-0.000435126905425	8.5246856016e-05	-0.00069832364813
11	-99	-20	-0.000438350000011	7.335400001e-05	-0.000706429999898
13	-99	-20	-0.000441628507674	6.15457436631e-05	-0.000710303460433
15	-99	-20	-0.000444973949891	4.95230351704e-05	-0.000710707041478
17	-99	-20	-0.000448290854436	3.69604299575e-05	-0.000709449315055
19	-99	-20	-0.000451411278488	2.35971694895e-05	-0.000708819293214
21	-99	-20	-0.000454149875804	9.31721349963e-06	-0.000710865145141
23	-99	-20	-0.000456360546047	-5.80723639967e-06	-0.000716744387189
25	-99	-20	-0.000457976111704	-2.15259853507e-05	-0.000726352096154
27	-99	-20	-0.00045901887508	-3.7477340034e-05	-0.000738346818974
29	-99	-20	-0.000459580033785	-5.32958249921e-05	-0.000750568340077
31	-99	-20	-0.00045977637396	-6.87312243096e-05	-0.000760716957888
33	-99	-20	-0.00045970000001	-8.37419999795e-05	-0.000767079999894
35	-99	-20	-0.000459378757695	-9.8530183402e-05	-0.000769074907391
37	-99	-20	-0.000458760929571	-0.000113499993293	-0.000767434983161
39	-99	-20	-0.000457729149692	-0.000129145041624	-0.00076397623364
41	-99	-20	-0.000456138206645	-0.000145892502884	-0.000761016307558
43	-99	-20	-0.000453862935905	-0.00016394946617	-0.000760627377315
45	-99	-20	-0.000450838628484	-0.000183200673974	-0.000763958662568
47	-99	-20	-0.000447078668714	-0.000203195376359	-0.000770843824763
49	-99	-20	-0.000442661828884	-0.000223236314604	-0.000779819845282
51	-99	-20	-0.000437692317275	-0.000242552670269	-0.000788555049141
53	-99	-20	-0.000432245732557	-0.000260510691452	-0.000794555326993
55	-99	-20	-0.000426320000013	-0.000276799999966	-0.000795929999893
57	-99	-20	-0.00041980985264	-0.000291536393651	-0.000791979896465
59	-99	-20	-0.000412516232914	-0.000305243845489	-0.000783426051107
61	-99	-20	-0.000404190166836	-0.000318713750017	-0.000772210288627
63	-99	-20	-0.00039459799833	-0.000332777856539	-0.000760933064157
65	-99	-20	-0.000383585785758	-0.000348060593908	-0.000752106782596
67	-99	-20	-0.000371118748391	-0.000364786586467	-0.000747458702061
69	-99	-20	-0.000357278383905	-0.000382705585563	-0.000747498811719
71	-99	-20	-0.00034221389592	-0.000401162676163	-0.000751480841724
73	-99	-20	-0.000326061830263	-0.000419296251937	-0.000757756649131
75	-99	-20	-0.000308862665786	-0.000436303819693	-0.000764396398082
77	-99	-20	-0.000290510000019	-0.000451689999959	-0.000769859999898
79	-99	-20	-0.000270763367271	-0.000465411340227	-0.000773487089695
81	-99	-20	-0.00024933950485	-0.00047786014927	-0.000775629569806
83	-99	-20	-0.000226072788122	-0.0004896772564	-0.000777364969002
85	-99	-20	-0.000201110404698	-0.000501437450626	-0.00077986494242
87	-99	-20	-0.000175089613663	-0.000513294878306	-0.000783608661291
89	-99	-20	-0.000149239787816	-0.000524694996693	-0.000787689554255
91	-99	-20	-0.000125363886391	-0.000534247983682	-0.000789447477454
93	-99	-20	-0.000105680640961	-0.000539818349236	-0.000784571744976
95	-99	-20	-9.25434371329e-05	-0.000538828153138	-0.000767689765664
97	-99	-20	-8.80851045698e-05	-0.000528713246495	-0.000733320385194
99	-99	-20	-9.386000004e-05	-0.000507429999947	-0.000676969999883
-99	-97	-20	-6.02597095835e-05	0.000296129762534	-0.000314543374927
-97	-97	-20	-4.63842755305e-05	0.000300126964543	-0.000358262547431
-95	-97	-20	-4.12164945468e-05	0.000303355242016	-0.000385031369528
-93	-97	-20	-4.32039447002e-05	0.000306020947121	-0.000398345344208
-91	-97	-20	-5.03569181572e-05	0.00030835112171	-0.000402471986701
-89	-97	-20	-6.06202999316e-05	0.000310539664716	-0.000401605883663
-87	-97	-20	-7.22151312757e-05	0.000312704880485	-0.000399134262422
-85	-97	-20	-8.38749898635e-05	0.000314869442122	-0.000397184009168
-83	-97	-20	-9.49320310095e-05	0.000316967846214	-0.000396542622393
-81	-97	-20	-0.000105248906069	0.000318878742626	-0.00039694051061
-79	-97	-20	-0.00011503380721	0.000320472332647	-0.00039758110252
-77	-97	-20	-0.000124604698423	0.000321658547077	-0.00039773878224
-75	-97	-20	-0.000134177299556	0.000322421409823	-0.000397233003548
-73	-97	-20	-0.000143737780337	0.000322829085397	-0.000396633691331
-71	-97	-20	-0.000153030311869	0.000323016457197	-0.000397143675989
-69	-97	-20	-0.000161651600476	0.000323145493736	-0.000400210077427
-67	-97	-20	-0.0001692111409	0.000323355552738	-0.000407004881473
-65	-97	-20	-0.000175497174291	0.000323718991343	-0.000417957529698
-63	-97	-20	-0.000180589350685	0.00032421595084	-0.000432505622418
-61	-97	-20	-0.000184878712902	0.00032473638412	-0.00044915902486
-59	-97	-20	-0.000188986963877	0.000325109058081	-0.000465870238066
-57	-97	-20	-0.000193609798513	0.000325148959871	-0.000480602577139
-55	-97	-20	-0.000199333045683	0.000324708832729	-0.000491920145196
-53	-97	-20	-0.000206478284294	0.000323719225934	-0.000499411966616
-51	-97	-20	-0.000215024538486	0.000322204868527	-0.000503811432248
-49	-97	-20	-0.000224628359071	0.000320272297448	-0.000506766582006
-47	-97	-20	-0.000234734095211	0.000318072289463	-0.00051032707406
-45	-97	-20	-0.000244739118791	0.000315748136642	-0.000516304827436
-43	-97	-20	-0.000254163411743	0.000313384934232	-0.00052570780719
-41	-97	-20	-0.00026277354997	0.00031097465651	-0.000538425950285
-39	-97	-20	-0.000270626889743	0.000308407115337	-0.000553270449747
-37	-97	-20	-0.000278027215537	0.000305489434416	-0.000568356566786
-35	-97	-20	-0.00028541003089	0.000301988694702	-0.00058171081906
-33	-97	-20	-0.00029319577827	0.000297686212793	-0.000591910701549
-31	-97	-20	-0.000301656762933	0.000292429148477	-0.000598552692857
-29	-97	-20	-0.000310836793403	0.000286166347134	-0.000602396893836
-27	-97	-20	-0.00032054435912	0.000278959889558	-0.000605138253321
-25	-97	-20	-0.000330416721737	0.000270970257537	-0.000608873124418
-23	-97	-20	-0.000340031050448	0.000262419495132	-0.000615428153618
-21	-97	-20	-0.000349026039216	0.000253541639461	-0.000625764616506
-19	-97	-20	-0.0003571966694	0.000244532028483	-0.000639649925916
-17	-97	-20	-0.000364535433514	0.000235506667201	-0.000655705162086
