Iteration,LinearResidual,RelativeResidual
0,9.12684344748295,1
1,32.0994102060759,3.51703306743236
2,10.8083013755512,1.18423214310003
3,8.92375174841956,0.977747870856774
4,6.50378055125553,0.712599113667188
5,4.6609397111005,0.510684744174714
6,4.01064827982106,0.439434323914818
7,4.08744759210998,0.44784898696134
8,3.29972608734963,0.361540778729983
9,2.32788732137228,0.255059411807297
10,1.834787407042,0.201031979741913
11,1.36100959888156,0.149121611071012
12,1.02107587810091,0.11187612496876
13,0.760298552225158,0.083303560162943
14,0.592997021828816,0.0649728490732857
15,0.452380451507413,0.0495659265013659
16,0.360285462184151,0.0394753634438106
17,0.273798952821935,0.0299993041841256
18,0.214847088725741,0.0235401308198173
19,0.165040786570327,0.0180830083829084
20,0.156630610919439,0.0171615314561614
21,0.141417984792865,0.0154947310761495
22,0.0957644182589926,0.0104926110335993
23,0.0796181945125825,0.00872351925073723
24,0.0651073471814152,0.00713361060218151
25,0.0678453883747486,0.00743360930480947
26,0.0488847760228324,0.00535615366957062
27,0.0350758130855941,0.00384314832257449
28,0.0265326737241377,0.00290710297342232
29,0.0209449641545536,0.00229487492308525
30,0.0163353911645697,0.00178981827162541
31,0.0125418309820428,0.00137416961890605
32,0.00967931815385186,0.00106053294433589
33,0.00757892951061834,0.000830399858859033
34,0.00586365240741705,0.000642462253369117
35,0.00464678774986307,0.000509134157565131
36,0.00367450221408753,0.000402603839457869
37,0.00292681069844272,0.000320681593289506
38,0.00288587416642618,0.000316196304125504
39,0.00237753110200923,0.000260498727264235
40,0.00165721023818629,0.000181575398736934
41,0.00136483765795357,0.000149541039660319
42,0.00135193013643656,0.000148126802460867
43,0.000958780169446367,0.000105050576901347
44,0.00071508394974335,7.83495360535147e-05
45,0.000556081592397136,6.09281396790579e-05
46,0.000472825938231397,5.18060752276621e-05
47,0.000486779701383038,5.33349458861689e-05
48,0.000337388612493307,3.69666264612388e-05
49,0.000257574997987479,2.82216956464301e-05
50,0.000196112436550359,2.14874329420479e-05
51,0.000146940208676695,1.60997840624974e-05
52,0.00011311983584066,1.23941904439981e-05
53,9.06777973633569e-05,9.93528571900338e-06
54,7.07314953892137e-05,7.74983112137421e-06
55,5.64232278760987e-05,6.18211851674299e-06
56,4.45809974388856e-05,4.88460196511647e-06
57,3.55940544288748e-05,3.89993042322766e-06
58,3.85042636625904e-05,4.21879304538847e-06
59,2.5739793204208e-05,2.82022950785977e-06
60,2.01829084390833e-05,2.21137883598183e-06
61,1.60434514037379e-05,1.75783133523151e-06
62,1.24858077283079e-05,1.36803132431852e-06
63,9.61337937724075e-06,1.05330823658337e-06
64,7.31577156969291e-06,8.01566457427347e-07
65,5.68928453662811e-06,6.23357305224418e-07
66,5.48332669937887e-06,6.007911421874e-07
67,4.81528355616508e-06,5.27595721770933e-07
68,3.26198526211988e-06,3.57405633271762e-07
69,2.55360704139274e-06,2.79790823200434e-07
