Quantity,Method,RMSE_T,MAE_T,MaxError_T
Bx,Kriging,0.00165486417908145,0.000652676929542348,0.0120030422852971
By,Kriging,0.0017606261715199,0.000788693851596169,0.0112550134605418
Bz,Kriging,0.00283768961382595,0.00121829593538882,0.0202338071988147
|B|,Kriging,0.00294538615264083,0.00119928491206949,0.0206296380301348
Bx,First-order Tikhonov,0.00203499480080045,0.000789726117670937,0.0129462988308459
By,First-order Tikhonov,0.00207571029809324,0.000932728758309033,0.0124121296664131
Bz,First-order Tikhonov,0.00323964460552399,0.00142077545459468,0.0216166152829977
|B|,First-order Tikhonov,0.00358848269664632,0.00142370324051018,0.0225956289742229
Bx,Physics constrained,0.00200164955119946,0.000774355691587706,0.0129575245388279
By,Physics constrained,0.00204030625428345,0.000914129053695532,0.0122025431203783
Bz,Physics constrained,0.00323964460698,0.0014207754540327,0.0216166153087787
|B|,Physics constrained,0.00356416538553692,0.00140763233947236,0.0225578295683514
