Quantity,Method,RMSE_at_OriginalSamples_T,MAE_at_OriginalSamples_T,MaxError_at_OriginalSamples_T
Bx,Kriging,4.35904979770904e-13,1.95965983444311e-13,1.99999738992318e-12
By,Kriging,5.08036024733818e-13,2.45353664033276e-13,2.69999994584325e-12
Bz,Kriging,6.08871839782059e-13,2.96275038465417e-13,3.20000276277099e-12
|B|,Kriging,8.7475513100369e-13,4.69446053211198e-13,3.50931089743156e-12
Bx,First-order Tikhonov,0.000256691149338076,0.000112762163045619,0.000970721973341821
By,First-order Tikhonov,0.000273134236868805,0.000123499096632766,0.00146194270302205
Bz,First-order Tikhonov,0.000321065059080634,0.000151817476374805,0.00160253696552807
|B|,First-order Tikhonov,0.000434854415130856,0.000193409246519598,0.0018791218018329
Bx,Physics constrained,0.000296450363458002,0.000130510540335393,0.00117623213766021
By,Physics constrained,0.000314956664215321,0.000138933428219843,0.00169790969893955
Bz,Physics constrained,0.000321065058740979,0.000151817475821315,0.00160253695455122
|B|,Physics constrained,0.000471742219804079,0.000209605853673525,0.00197193897298189
