Iteration,LinearResidual,RelativeResidual
0,9.49817145675419,1
1,32.3006812061954,3.40072627171057
2,12.2603101516039,1.29080741566163
3,11.3377255471358,1.19367455080772
4,7.43221219301925,0.782488737633198
5,6.18736509599969,0.651426974567808
6,5.90283459378997,0.621470629443359
7,5.08189551040901,0.535039352947798
8,4.22727594217149,0.445062079729616
9,3.67663638150999,0.387088862129934
10,3.05540739359952,0.321683748025712
11,2.3689560435155,0.249411800397741
12,1.9412971747892,0.204386410966369
13,1.6330122615252,0.171929120142799
14,1.40365646090488,0.14778175644605
15,1.12760843346436,0.118718475297949
16,0.948114049206366,0.0998206921746142
17,0.797801089822018,0.0839952293401377
18,0.667715993514182,0.0702994251634999
19,0.538099671070493,0.0566529751037341
20,0.425482552852654,0.0447962594474004
21,0.347702964247366,0.0366073581457737
22,0.289016989267743,0.0304286978376477
23,0.236445020489621,0.0248937410285939
24,0.198742212398738,0.0209242603488076
25,0.163283395598444,0.0171910347525188
26,0.142577118040603,0.0150110069806348
27,0.123296859626211,0.0129811153849549
28,0.102876393965657,0.0108311788678548
29,0.086488162925212,0.00910576981253691
30,0.0810546265805072,0.00853370850900664
31,0.0678915664636775,0.00714785648719781
32,0.0529278307395462,0.00557242317434783
33,0.0427708627258602,0.00450306281799595
34,0.035604563541685,0.00374857031206427
35,0.0293981225362088,0.00309513496045638
36,0.0242390970801893,0.00255197510284496
37,0.0199373336821244,0.00209907072881348
38,0.0162259215212667,0.00170832055360807
39,0.0132856051678499,0.00139875398421055
40,0.0109479727723292,0.00115264004468398
41,0.00895986727852329,0.00094332549368246
42,0.00735941489579221,0.000774824389020573
43,0.00601473398064069,0.000633251779884811
44,0.00512860462979271,0.000539957048906054
45,0.00442571597738303,0.000465954525829905
46,0.00365440394319726,0.000384748154930242
47,0.00299961154162554,0.000315809369759535
48,0.00262645614129702,0.000276522292028044
49,0.00230902966699888,0.000243102546370325
50,0.00184712208022057,0.000194471334680643
51,0.00151364314731082,0.000159361531238148
52,0.00139142505556325,0.000146493992227714
53,0.00117138381877818,0.000123327297692147
54,0.000899977025044755,9.47526615141041e-05
55,0.000738291110273531,7.77298150107123e-05
56,0.000646636356784578,6.80800888601302e-05
57,0.000563378806515403,5.9314449005317e-05
58,0.000452856055371243,4.76782354828113e-05
59,0.000384333315389157,4.04639268873017e-05
60,0.00032445620097801,3.41598593429568e-05
61,0.00026747284117412,2.81604561880086e-05
62,0.000210755967557109,2.21891096109072e-05
63,0.000169955099022137,1.78934545239528e-05
64,0.000139230716875285,1.46586864123491e-05
65,0.000122810700331889,1.29299308704896e-05
66,0.00010694895139889,1.12599516534141e-05
67,8.33204714372915e-05,8.77226441075056e-06
68,6.74700286393566e-05,7.10347554227171e-06
69,5.65392800894505e-05,5.95264892267713e-06
70,4.75346500998942e-05,5.00461065756948e-06
71,4.21540774794655e-05,4.43812555620793e-06
72,3.42265356899753e-05,3.60348682331237e-06
73,2.80459653622192e-05,2.95277522520144e-06
74,2.44768550766356e-05,2.57700707847614e-06
75,2.29098162117136e-05,2.41202386333239e-06
76,1.90584595208296e-05,2.00653984902295e-06
77,1.55099984793488e-05,1.63294572539219e-06
78,1.25705111077031e-05,1.32346643403285e-06
79,1.0143399797076e-05,1.06793184806776e-06
80,8.01890994060762e-06,8.44258284567536e-07
81,6.46011151017439e-06,6.80142650570977e-07
82,5.29983031115552e-06,5.57984274687607e-07
83,4.39133556820702e-06,4.62334838679326e-07
84,3.86853271096801e-06,4.07292364491597e-07
85,3.36807638653633e-06,3.54602609762459e-07
86,2.72677332257609e-06,2.87084028224934e-07
87,2.14473101887422e-06,2.2580462235698e-07
