% Magnetic field reconstruction point table
% Method: Gaussian RBF
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
-99	-99	-20	-7.89179999999e-05	0.000286829999999	-0.00027204
-97	-99	-20	-8.41606545776e-05	0.000294003000196	-0.000281957275837
-95	-99	-20	-8.94468866337e-05	0.000299786890321	-0.000290986982593
-93	-99	-20	-9.47738838161e-05	0.000304253282687	-0.00029918401105
-91	-99	-20	-0.000100142604332	0.000307514131146	-0.000306635493808
-89	-99	-20	-0.000105557354608	0.000309714566217	-0.000313455358622
-87	-99	-20	-0.000111025203341	0.000311024043541	-0.000319777524702
-85	-99	-20	-0.000116555279454	0.00031162637954	-0.00032574818244
-83	-99	-20	-0.000122158007907	0.00031170932123	-0.000331517654719
-81	-99	-20	-0.000127844339327	0.000311454321175	-0.000337232358053
-79	-99	-20	-0.000133625027213	0.000311027161938	-0.000343027363221
-77	-99	-20	-0.00013951	0.000310569999998	-0.00034902
-75	-99	-20	-0.000145507865405	0.000310195283485	-0.000355304864344
-73	-99	-20	-0.000151625571908	0.000309981851529	-0.000361950476673
-71	-99	-20	-0.000157868237994	0.000309973357735	-0.000368997716157
-69	-99	-20	-0.000164239145191	0.000310178990006	-0.000376460028349
-67	-99	-20	-0.000170739876907	0.000310576297191	-0.000384325282277
-65	-99	-20	-0.000177370573023	0.000311115792195	-0.000392559047348
-63	-99	-20	-0.000184130260786	0.000311726891635	-0.000401108977494
-61	-99	-20	-0.000191017216766	0.000312324681048	-0.00040990993503
-59	-99	-20	-0.000198029312795	0.00031281696596	-0.000418889462186
-57	-99	-20	-0.000205164301089	0.000313111083161	-0.000427973214051
-55	-99	-20	-0.00021242	0.000313119999996	-0.000437089999998
-53	-99	-20	-0.000219794351494	0.000312767316222	-0.000446176136853
-51	-99	-20	-0.000227285333788	0.000311990894453	-0.000455178889756
-49	-99	-20	-0.000234890726533	0.000310744971157	-0.000464058858815
-47	-99	-20	-0.000242607740507	0.000309000729983	-0.000472791253939
-45	-99	-20	-0.000250432537653	0.000306745442268	-0.000481366079954
-43	-99	-20	-0.000258359679484	0.000303980386594	-0.000489787323717
-41	-99	-20	-0.000266381551243	0.000300717842663	-0.000498071290182
-39	-99	-20	-0.000274487815016	0.000296977509238	-0.000506244272946
-37	-99	-20	-0.00028266494658	0.000292782718737	-0.000514339765974
-35	-99	-20	-0.000290895907921	0.000288156812184	-0.00052239542782
-33	-99	-20	-0.00029916	0.000283119999998	-0.00053045
-31	-99	-20	-0.000307432928916	0.000277686970947	-0.000538540360171
-29	-99	-20	-0.00031568710377	0.000271865429812	-0.00054669886209
-27	-99	-20	-0.000323892167288	0.000265655651051	-0.000554951081404
-25	-99	-20	-0.000332015741869	0.000259051038963	-0.000563314052551
-23	-99	-20	-0.000340024355702	0.000252039592333	-0.000571795049948
-21	-99	-20	-0.00034788449736	0.000244606090513	-0.000580390938051
-19	-99	-20	-0.000355563734459	0.000236734754603	-0.000589088090788
-17	-99	-20	-0.000363031823716	0.000228412096555	-0.000597862861253
-15	-99	-20	-0.000370261737001	0.000219629653684	-0.00060668256688
-13	-99	-20	-0.000377230531337	0.000210386317191	-0.000615506942249
-11	-99	-20	-0.000383919999999	0.000200689999991	-0.000624289999999
-9	-99	-20	-0.000390317056448	0.000190558448325	-0.000632982228448
-7	-99	-20	-0.000396413821567	0.000180019078687	-0.000641533041583
-5	-99	-20	-0.000402207406003	0.000169107810197	-0.000649893382616
-3	-99	-20	-0.000407699401586	0.000157866955502	-0.000658018366664
-1	-99	-20	-0.000412895116857	0.000146342322889	-0.000665869832562
1	-99	-20	-0.000417802609925	0.000134579760881	-0.000673418660422
3	-99	-20	-0.000422431585727	0.000122621437234	-0.000680646702863
5	-99	-20	-0.000426792233091	0.000110502181374	-0.000687548176894
7	-99	-20	-0.000430894079288	9.82462290552e-05	-0.00069413037294
9	-99	-20	-0.000434744935876	8.58646885701e-05	-0.000700413559737
11	-99	-20	-0.000438349999999	7.33539999939e-05	-0.000706429999998
13	-99	-20	-0.000441711160759	6.06955855357e-05	-0.000712222041629
15	-99	-20	-0.000444826542092	4.78567953851e-05	-0.000717839311172
17	-99	-20	-0.000447690293169	3.4793146498e-05	-0.000723335106551
19	-99	-20	-0.000450292616417	2.14517399941e-05	-0.000728762160109
21	-99	-20	-0.000452620003432	7.77563539489e-06	-0.000734168014295
23	-99	-20	-0.000454655632039	-6.29113396142e-06	-0.000739590314079
25	-99	-20	-0.00045637986494	-2.07982917939e-05	-0.000745052365459
27	-99	-20	-0.000457770782997	-3.57842260703e-05	-0.000750559331756
29	-99	-20	-0.00045880468501	-5.12715107453e-05	-0.000756095433583
31	-99	-20	-0.000459456491278	-6.72634515471e-05	-0.000761622481352
33	-99	-20	-0.0004597	-8.37420000011e-05	-0.000767079999999
35	-99	-20	-0.000459507963147	-0.000100667281374	-0.000772387106336
37	-99	-20	-0.000458851970406	-0.000117978856902	-0.00077744617499
39	-99	-20	-0.000457702154699	-0.000135598697515	-0.00078214818698
41	-99	-20	-0.000456026758438	-0.000153435696373	-0.000786379505838
43	-99	-20	-0.000453791623993	-0.000171391403125	-0.000790029681742
45	-99	-20	-0.000450959692557	-0.000189366536614	-0.000792999757428
47	-99	-20	-0.000447490610524	-0.000207267736478	-0.00079521045337
49	-99	-20	-0.000443340549973	-0.000225013957933	-0.000796609555465
51	-99	-20	-0.000438462348312	-0.000242541905102	-0.000797177825089
53	-99	-20	-0.000432806060978	-0.000259809940376	-0.000796932804405
55	-99	-20	-0.00042632	-0.000276799999999	-0.000795930000002
57	-99	-20	-0.000418952300903	-0.000293517184736	-0.0007942610913
59	-99	-20	-0.000410653022241	-0.000309986870286	-0.00079204901757
61	-99	-20	-0.000401376738059	-0.000326249382688	-0.000789440035018
63	-99	-20	-0.000391085536829	-0.000342352494061	-0.000786593085567
65	-99	-20	-0.000379752294189	-0.000358342196921	-0.000783667061646
67	-99	-20	-0.000367364045253	-0.000374252393753	-0.000780806765488
69	-99	-20	-0.000353925249198	-0.00039009427643	-0.000778128527107
71	-99	-20	-0.000339460718262	-0.000405846253728	-0.000775706545188
73	-99	-20	-0.000324017978329	-0.000421445304713	-0.000773561036933
75	-99	-20	-0.000307668841176	-0.000436780585783	-0.000771649219764
77	-99	-20	-0.000290509999998	-0.000451690000003	-0.000769860000002
79	-99	-20	-0.000272662509155	-0.000465960254851	-0.000768013018547
81	-99	-20	-0.000254270073622	-0.00047933070028	-0.00076586241574
83	-99	-20	-0.000235496148973	-0.000491500969373	-0.00076310534726
85	-99	-20	-0.000216519933313	-0.00050214215919	-0.000759394935372
87	-99	-20	-0.000197531411678	-0.000510911012088	-0.000754357002325
89	-99	-20	-0.000178725684274	-0.000517466310808	-0.000747609633309
91	-99	-20	-0.000160296865996	-0.000521486505171	-0.000738784380332
93	-99	-20	-0.000142431880797	-0.000522687462061	-0.000727547766813
95	-99	-20	-0.000125304486977	-0.000520839185837	-0.000713621699755
97	-99	-20	-0.000109069857121	-0.000515780398884	-0.000696801448145
99	-99	-20	-9.386e-05	-0.000507429999999	-0.000676969999999
-99	-97	-20	-8.02183279762e-05	0.000294286788304	-0.000283041430153
-97	-97	-20	-8.72668402495e-05	0.000302370068381	-0.000298202188426
-95	-97	-20	-9.42349423839e-05	0.00030747275822	-0.000312143410818
-93	-97	-20	-0.000101024793773	0.000309291695139	-0.00032465156395
-91	-97	-20	-0.000107545173992	0.00030760653031	-0.00033554479743
-89	-97	-20	-0.000113717414293	0.000302300930594	-0.000344682892058
-87	-97	-20	-0.000119481353516	0.000293381844655	-0.000351976674998
-85	-97	-20	-0.000124800907189	0.000280995257979	-0.000357396316811
-83	-97	-20	-0.000129668808202	0.000265436788461	-0.000360977889512
-81	-97	-20	-0.000134110079123	0.000247155524311	-0.000362827571647
-79	-97	-20	-0.000138183834447	0.000226749700406	-0.000363122943514
-77	-97	-20	-0.000141983086981	0.000204953158946	-0.000362110927042
-75	-97	-20	-0.000145632344427	0.000182612042129	-0.00036010208916
-73	-97	-20	-0.000149282924233	0.000160651799892	-0.00035746123797
-71	-97	-20	-0.000153106078146	0.000140035328968	-0.000354594485172
-69	-97	-20	-0.000157284190694	0.000121713839977	-0.000351933208564
-67	-97	-20	-0.000162000484148	0.000106572813931	-0.00034991560394
-65	-97	-20	-0.000167427811694	9.53760878317e-05	-0.000348966743525
-63	-97	-20	-0.000173717236173	8.87116293331e-05	-0.000349478235707
-61	-97	-20	-0.000180987161401	8.69428566609e-05	-0.000351788688603
-59	-97	-20	-0.000189313797359	9.01693795153e-05	-0.000356166203211
-57	-97	-20	-0.000198723694406	9.82007465233e-05	-0.000362794052565
-55	-97	-20	-0.000209188974973	0.000110546177268	-0.000371760541588
-53	-97	-20	-0.000220625729144	0.000126422352649	-0.000383053796603
-51	-97	-20	-0.000232895833655	0.000144780186053	-0.000396561920337
-49	-97	-20	-0.000245812216816	0.000164350176006	-0.000412078590991
-47	-97	-20	-0.000259147343148	0.000183704546856	-0.000429313810627
-45	-97	-20	-0.000272644450978	0.000201333029791	-0.000447909149157
-43	-97	-20	-0.00028603086408	0.000215727938661	-0.00046745651544
-41	-97	-20	-0.000299032532989	0.000225473264216	-0.000487519242909
-39	-97	-20	-0.000311388857614	0.000229331939752	-0.000507654124476
-37	-97	-20	-0.000322866810148	0.000226325287903	-0.000527432983066
-35	-97	-20	-0.000333273419819	0.000215798975107	-0.000546462423872
-33	-97	-20	-0.000342465796195	0.000197470571241	-0.000564400576883
-31	-97	-20	-0.000350358046719	0.000171454991313	-0.000580969889172
-29	-97	-20	-0.000356924672439	0.00013826560091	-0.000595965344146
-27	-97	-20	-0.000362200284888	9.87904836642e-05	-0.000609257842695
-25	-97	-20	-0.000366275755553	5.42451620165e-05	-0.000620792848888
-23	-97	-20	-0.000369291165322	6.10478713498e-06	-0.000630584750872
-21	-97	-20	-0.000371426144172	-4.39796717872e-05	-0.000638707688127
-19	-97	-20	-0.000372888363523	-9.42755304298e-05	-0.000645283826594
-17	-97	-20	-0.000373901052121	-0.000143066332473	-0.000650470206715
-15	-97	-20	-0.000374690443518	-0.000188746934374	-0.000654445337297
-13	-97	-20	-0.000375474027877	-0.000229909303762	-0.000657396659195
-11	-97	-20	-0.000376450377498	-0.00026541336767	-0.000659509863637
-9	-97	-20	-0.000377791154223	-0.000294438439786	-0.000660960834142
-7	-97	-20	-0.000379635702312	-0.000316512277174	-0.000661910707253
-5	-97	-20	-0.000382088400049	-0.000331516539756	-0.000662504238705
-3	-97	-20	-0.000385218706607	-0.000339669208519	-0.000662871343344
-1	-97	-20	-0.000389063616772	-0.000341486216852	-0.000663131374403
1	-97	-20	-0.000393632042911	-0.000337726029242	-0.000663399444843
3	-97	-20	-0.000398910496138	-0.000329322049625	-0.000663793891264
5	-97	-20	-0.000404869348179	-0.000317308474753	-0.000664443855975
7	-97	-20	-0.000411468928731	-0.000302745478887	-0.00066549592613
9	-97	-20	-0.000418664751853	-0.000286649416677	-0.000667118824985
11	-97	-20	-0.000426411265819	-0.000269933091161	-0.000669505296888
13	-97	-20	-0.000434663676077	-0.000253360117864	-0.000672870555453
15	-97	-20	-0.000443377588239	-0.000237516116249	-0.000677446957643
17	-97	-20	-0.000452506442123	-0.000222797988302	-0.000683474903741
19	-97	-20	-0.000461996941048	-0.000209421022658	-0.000691190318639
21	-97	-20	-0.000471782904078	-0.000197442113221	-0.000700809414909
23	-97	-20	-0.000481778164175	-0.000186796116179	-0.000712511743715
25	-97	-20	-0.000491869285029	-0.000177341383078	-0.000726422778131
27	-97	-20	-0.000501908959266	-0.00016890987034	-0.000742597421432
29	-97	-20	-0.00051171097031	-0.000161356978181	-0.000761005872869
31	-97	-20	-0.000521047543475	-0.000154606424194	-0.000781523205976
33	-97	-20	-0.000529649779108	-0.000148685987403	-0.000803923819382
35	-97	-20	-0.000537211657457	-0.000143750817324	-0.000827881617319
37	-97	-20	-0.000543397843596	-0.000140092115118	-0.000852976385908
39	-97	-20	-0.000547855218739	-0.000138130267507	-0.000878706380152
41	-97	-20	-0.000550227743834	-0.000138392845289	-0.000904506659993
43	-97	-20	-0.000550173947947	-0.000141479160444	-0.000929772250679
45	-97	-20	-0.000547386054323	-0.000148014207675	-0.000953884792255
47	-97	-20	-0.000541609536969	-0.000158595709505	-0.000976241021902
49	-97	-20	-0.000532661762778	-0.000173738570169	-0.000996281231324
51	-97	-20	-0.00052044833548	-0.000193821278889	-0.0010135157803
53	-97	-20	-0.000504975827708	-0.000219038672613	-0.00102754783638
55	-97	-20	-0.000486359766553	-0.000249364986084	-0.0010380907461
57	-97	-20	-0.000464827017213	-0.000284530325927	-0.00104497880848
59	-97	-20	-0.000440712070301	-0.000324012672397	-0.0010481706898
61	-97	-20	-0.00041444715441	-0.000367046323935	-0.00104774525172
63	-97	-20	-0.000386546534303	-0.000412646453684	-0.0010438901202
65	-97	-20	-0.000357585780591	-0.000459648245077	-0.00103688385502
67	-97	-20	-0.000328177173526	-0.000506758011517	-0.0010270730452
69	-97	-20	-0.000298942699084	-0.000552612865545	-0.00101484601723
71	-97	-20	-0.000270486284311	-0.000595844947723	-0.00100060507206
73	-97	-20	-0.000243366984297	-0.000635145991105	-0.000984739245633
75	-97	-20	-0.00021807476924	-0.00066932809171	-0.000967599513158
77	-97	-20	-0.000195010372434	-0.00069737695885	-0.000949478136409
79	-97	-20	-0.000174470364868	-0.000718494585755	-0.000930593507461
81	-97	-20	-0.00015663824485	-0.000732129144614	-0.000911081400844
83	-97	-20	-0.000141581903851	-0.000737990891121	-0.000890993046311
85	-97	-20	-0.000129257388059	-0.000736053876264	-0.000870299916982
87	-97	-20	-0.000119518454859	-0.000726544224355	-0.00084890463342
89	-97	-20	-0.000112131057176	-0.000709916572853	-0.000826656951127
91	-97	-20	-0.00010679160306	-0.000686820924091	-0.000803373458696
93	-97	-20	-0.000103147651577	-0.000658062594511	-0.000778859389807
95	-97	-20	-0.000100819628247	-0.000624558148257	-0.000752930857569
97	-97	-20	-9.94221732978e-05	-0.00058729017558	-0.000725435856968
99	-97	-20	-9.85838644153e-05	-0.000547263547782	-0.000696272541949
-99	-95	-20	-8.04437652771e-05	0.000301968673472	-0.000293204942843
-97	-95	-20	-8.91545474126e-05	0.000310941105408	-0.00031319589481
-95	-95	-20	-9.76773207329e-05	0.000315475858852	-0.000331669110449
-93	-95	-20	-0.000105825918996	0.000314926506375	-0.000348165743048
-91	-95	-20	-0.00011342318725	0.00030876835166	-0.000362258008306
-89	-95	-20	-0.000120312807889	0.000296645599935	-0.000373573193856
-87	-95	-20	-0.000126371334741	0.000278416363603	-0.000381817891956
-85	-95	-20	-0.00013151959883	0.000254191960397	-0.000386800933746
-83	-95	-20	-0.000135732584656	0.00022436675494	-0.000388453382344
-81	-95	-20	-0.000139046877066	0.00018963486839	-0.000386843936623
-79	-95	-20	-0.000141564854243	0.000150990477587	-0.00038218822385
-77	-95	-20	-0.000143454954365	0.000109709162989	-0.000374850722503
-75	-95	-20	-0.00014494756781	6.73088317411e-05	-0.000365338449702
-73	-95	-20	-0.000146326391714	2.54900931857e-05	-0.000354286050332
-71	-95	-20	-0.000147915411094	-1.39424802874e-05	-0.000342432504884
-69	-95	-20	-0.000150062016794	-4.91751234466e-05	-0.000330590287401
