% Magnetic field reconstruction point table
% Method: Smoothing Thin Plate Spline
% Grid size: 100 x 100 (rows=y, columns=x)
% Length unit: mm
% Magnetic field unit: T
% z plane: -20 mm
% Data order: y-major rows, x increasing within each row
% Columns use tab separators
% x(mm)	y(mm)	z(mm)	Bx(T)	By(T)	Bz(T)
-99	-99	-20	-0.000112751589588	0.000278976744365	-0.00027362332165
-97	-99	-20	-9.70141972216e-05	0.000286478466195	-0.000271323401114
-95	-99	-20	-8.70235887964e-05	0.000292627607987	-0.000271186158908
-93	-99	-20	-8.15479294394e-05	0.000297683963115	-0.000273057491891
-91	-99	-20	-7.98299457016e-05	0.000301801145766	-0.000276776858543
-89	-99	-20	-8.12605846718e-05	0.00030510145243	-0.000282163019882
-87	-99	-20	-8.53009957774e-05	0.000307693208924	-0.000289011413168
-85	-99	-20	-9.1450351866e-05	0.000309677849828	-0.000297092866543
-83	-99	-20	-9.92275863154e-05	0.000311154285721	-0.000306150612524
-81	-99	-20	-0.000108154391418	0.000312223517166	-0.000315891350062
-79	-99	-20	-0.000117724646436	0.000312996929195	-0.000325957979664
-77	-99	-20	-0.000127285460235	0.000313626605326	-0.000335804762128
-75	-99	-20	-0.000135921379432	0.000314334387651	-0.000344574658026
-73	-99	-20	-0.000144120238285	0.000314994729363	-0.000352901863172
-71	-99	-20	-0.000152104981881	0.000315550425803	-0.000361109524087
-69	-99	-20	-0.000159946786289	0.00031598245567	-0.000369332661834
-67	-99	-20	-0.000167680522756	0.000316279230348	-0.000377643261437
-65	-99	-20	-0.000175330195225	0.000316428937031	-0.000386077631448
-63	-99	-20	-0.000182917556114	0.000316417211291	-0.000394644881091
-61	-99	-20	-0.000190465194942	0.000316227715459	-0.000403327860242
-59	-99	-20	-0.00019799772986	0.000315845055407	-0.000412078094435
-57	-99	-20	-0.000205543104322	0.000315260520085	-0.000420798945756
-55	-99	-20	-0.000213138884772	0.000314487987831	-0.000429270734149
-53	-99	-20	-0.000220838404948	0.000313578824102	-0.000437077076766
-51	-99	-20	-0.000228612276321	0.000312436088865	-0.000444670339958
-49	-99	-20	-0.000236446143093	0.000311000330005	-0.00045230420284
-47	-99	-20	-0.000244333875555	0.00030923488687	-0.000460105401676
-45	-99	-20	-0.000252270811261	0.000307110571933	-0.00046814684606
-43	-99	-20	-0.000260252479119	0.000304601054084	-0.00047646297593
-41	-99	-20	-0.000268274545451	0.000301681668121	-0.000485053836736
-39	-99	-20	-0.000276333468841	0.000298331088393	-0.000493884049789
-37	-99	-20	-0.000284428092822	0.000294536104789	-0.000502876105659
-35	-99	-20	-0.000292563563358	0.000290301086435	-0.000511889718703
-33	-99	-20	-0.000300767157471	0.000285676375279	-0.000520628641355
-31	-99	-20	-0.000309103868681	0.000280785159683	-0.000528549100371
-29	-99	-20	-0.000317457872237	0.000275475965402	-0.000536198946374
-27	-99	-20	-0.000325752387395	0.000269670228997	-0.000543877645096
-25	-99	-20	-0.000333935396619	0.000263335680574	-0.000551726942569
-23	-99	-20	-0.000341965079893	0.000256458593237	-0.000559823058413
-21	-99	-20	-0.000349807110198	0.00024903554532	-0.00056819614647
-19	-99	-20	-0.000357434239906	0.00024107064864	-0.000576835415296
-17	-99	-20	-0.00036482686538	0.000232576880124	-0.000585687685658
-15	-99	-20	-0.000371974575867	0.000223581720977	-0.000594648698503
-13	-99	-20	-0.00037888003301	0.000214139373926	-0.000603536861848
-11	-99	-20	-0.000385575022627	0.000204370097158	-0.000611976031084
-9	-99	-20	-0.000392136152487	0.000194497268112	-0.000619280387395
-7	-99	-20	-0.000398459352718	0.000184345470151	-0.000626133273378
-5	-99	-20	-0.000404485730382	0.000173839236288	-0.000632907091571
-3	-99	-20	-0.000410186220161	0.000162963202903	-0.000639777155296
-1	-99	-20	-0.000415545876525	0.000151720756317	-0.000646837610494
1	-99	-20	-0.000420560354102	0.000140120903716	-0.000654126288537
3	-99	-20	-0.000425234789192	0.000128173112517	-0.000661631684208
5	-99	-20	-0.000429583860363	0.000115888045374	-0.00066929181941
7	-99	-20	-0.000433633329204	0.000103284177078	-0.000676984195925
