% Model:              Untitled.mph
% Version:            COMSOL 6.3.0.290
% Date:               Aug 28 2026, 18:55
% Dimension:          3
% Nodes:              100
% Expressions:        3
% Description:        Bx, By, Bz
% Length unit:        mm
% x             y              z              mfnc.Bx (T)    mfnc.By (T)    mfnc.Bz (T)
-99.000         -99.000        -20.000        -7.8918E-5     2.8683E-4      -2.7204E-4
-77.000         -99.000        -20.000        -1.3951E-4     3.1057E-4      -3.4902E-4
-55.000         -99.000        -20.000        -2.1242E-4     3.1312E-4      -4.3709E-4
-33.000         -99.000        -20.000        -2.9916E-4     2.8312E-4      -5.3045E-4
-11.000         -99.000        -20.000        -3.8392E-4     2.0069E-4      -6.2429E-4
11.000          -99.000        -20.000        -4.3835E-4     7.3354E-5      -7.0643E-4
33.000          -99.000        -20.000        -4.5970E-4     -8.3742E-5     -7.6708E-4
55.000          -99.000        -20.000        -4.2632E-4     -2.7680E-4     -7.9593E-4
77.000          -99.000        -20.000        -2.9051E-4     -4.5169E-4     -7.6986E-4
99.000          -99.000        -20.000        -9.3860E-5     -5.0743E-4     -6.7697E-4
-99.000         -77.000        -20.000        -2.3529E-5     4.4353E-4      -3.6183E-4
-77.000         -77.000        -20.000        -1.0817E-4     5.1267E-4      -5.0792E-4
-55.000         -77.000        -20.000        -1.9897E-4     5.6282E-4      -6.7612E-4
-33.000         -77.000        -20.000        -3.4175E-4     5.9280E-4      -8.4987E-4
-11.000         -77.000        -20.000        -5.2006E-4     4.9441E-4      -0.0010431
11.000          -77.000        -20.000        -6.0234E-4     3.0141E-4      -0.0012177
33.000          -77.000        -20.000        -6.6721E-4     1.2121E-4      -0.0013427
55.000          -77.000        -20.000        -7.3907E-4     -2.2583E-4     -0.0014484
77.000          -77.000        -20.000        -5.0751E-4     -6.8766E-4     -0.0014375
99.000          -77.000        -20.000        -5.7167E-5     -8.2643E-4     -0.0012049
-99.000         -55.000        -20.000        1.3094E-4      7.5369E-4      -4.8939E-4
-77.000         -55.000        -20.000        -2.0901E-5     9.6224E-4      -8.1488E-4
-55.000         -55.000        -20.000        -6.2575E-5     0.0011075      -0.0011883
-33.000         -55.000        -20.000        -2.4059E-4     0.0014781      -0.0014653
-11.000         -55.000        -20.000        -7.9335E-4     0.0014354      -0.0019284
11.000          -55.000        -20.000        -7.9751E-4     9.6657E-4      -0.0023816
33.000          -55.000        -20.000        -7.3196E-4     0.0011356      -0.0025142
55.000          -55.000        -20.000        -0.0015407     8.0052E-4      -0.0029213
77.000          -55.000        -20.000        -0.0012393     -8.4328E-4     -0.0032537
99.000          -55.000        -20.000        8.2519E-5      -0.0013413     -0.0024963
-99.000         -33.000        -20.000        7.0368E-4      0.0014136      -5.5125E-4
-77.000         -33.000        -20.000        3.2265E-4      0.0026263      -0.0012445
-55.000         -33.000        -20.000        2.6155E-4      0.0027230      -0.0025372
-33.000         -33.000        -20.000        0.0010494      0.0045966      -0.0022052
-11.000         -33.000        -20.000        -0.0016440     0.0059841      -0.0033811
11.000          -33.000        -20.000        -0.0015113     0.0034591      -0.0054777
33.000          -33.000        -20.000        0.0014096      0.0051288      -0.0041250
55.000          -33.000        -20.000        -0.0031680     0.0093978      -0.0038523
77.000          -33.000        -20.000        -0.0050563     0.0020884      -0.0086922
99.000          -33.000        -20.000        4.0807E-4      -0.0014988     -0.0058375
-99.000         -11.000        -20.000        0.0025881      0.0018282      -3.8186E-5
-77.000         -11.000        -20.000        0.0055225      0.0082886      0.0034005
-55.000         -11.000        -20.000        -0.0037637     0.012318       4.4851E-4
-33.000         -11.000        -20.000        0.0092156      0.010396       0.0024568
-11.000         -11.000        -20.000        -0.0018499     0.026802       0.015259
11.000          -11.000        -20.000        -0.010250      0.019825       7.1013E-4
33.000          -11.000        -20.000        0.011504       0.010822       -8.4623E-4
55.000          -11.000        -20.000        -0.0037016     0.015852       0.028531
77.000          -11.000        -20.000        -0.023457      0.016775       0.0080805
99.000          -11.000        -20.000        -0.0011012     0.0015819      -0.010737
-99.000         11.000         -20.000        0.0036651      -1.4722E-4     4.8067E-4
-77.000         11.000         -20.000        0.010042       -0.0041535     0.0084719
-55.000         11.000         -20.000        -0.0062161     -0.0069848     0.014269
-33.000         11.000         -20.000        0.010871       -0.0038100     0.0071446
-11.000         11.000         -20.000        0.0020356      -0.017244      0.033097
11.000          11.000         -20.000        -0.013428      -0.0096546     0.018928
33.000          11.000         -20.000        0.011523       -0.0017412     0.0054661
55.000          11.000         -20.000        -0.0052020     -4.1656E-4     0.038453
77.000          11.000         -20.000        -0.023869      -0.0031062     0.018552
99.000          11.000         -20.000        -0.0046868     0.0033267      -0.0080184
-99.000         33.000         -20.000        0.0020712      -0.0011817     6.4092E-5
-77.000         33.000         -20.000        0.0026917      -0.0037925     0.0010017
-55.000         33.000         -20.000        8.7603E-4      -0.0050918     0.0011251
-33.000         33.000         -20.000        0.0024628      -0.0059166     0.0010716
-11.000         33.000         -20.000        2.8561E-4      -0.0096557     0.0021349
11.000          33.000         -20.000        -0.0021114     -0.0070868     3.0628E-4
33.000          33.000         -20.000        0.0024524      -0.0068176     8.0857E-4
55.000          33.000         -20.000        -0.0010356     -0.014325      0.0058847
77.000          33.000         -20.000        -0.0094847     -0.0065789     6.5879E-5
99.000          33.000         -20.000        -0.0035063     0.0011390      -0.0032485
-99.000         55.000         -20.000        9.7004E-4      -9.2719E-4     -1.5920E-4
-77.000         55.000         -20.000        0.0010076      -0.0017455     -1.2351E-4
-55.000         55.000         -20.000        7.4421E-4      -0.0023808     -1.8076E-4
-33.000         55.000         -20.000        5.8391E-4      -0.0029811     -2.6003E-4
-11.000         55.000         -20.000        -4.5593E-5     -0.0035286     -3.8698E-4
11.000          55.000         -20.000        -4.9253E-4     -0.0032465     -6.7245E-4
33.000          55.000         -20.000        -3.1094E-4     -0.0034778     -6.6175E-4
55.000          55.000         -20.000        -0.0015047     -0.0039876     -5.7525E-4
77.000          55.000         -20.000        -0.0027679     -0.0019682     -0.0011665
99.000          55.000         -20.000        -0.0017735     2.0335E-4      -0.0014131
-99.000         77.000         -20.000        4.8790E-4      -6.3158E-4     -1.9080E-4
-77.000         77.000         -20.000        4.7217E-4      -9.7335E-4     -2.2518E-4
-55.000         77.000         -20.000        3.5207E-4      -0.0012899     -2.8085E-4
-33.000         77.000         -20.000        1.6227E-4      -0.0015491     -3.5477E-4
-11.000         77.000         -20.000        -1.1186E-4     -0.0016892     -4.4986E-4
11.000          77.000         -20.000        -3.5236E-4     -0.0016591     -5.5161E-4
33.000          77.000         -20.000        -5.6328E-4     -0.0016130     -6.1508E-4
55.000          77.000         -20.000        -9.4673E-4     -0.0013943     -6.7321E-4
77.000          77.000         -20.000        -0.0011891     -7.0086E-4     -7.5711E-4
99.000          77.000         -20.000        -9.3688E-4     2.3632E-5      -7.5230E-4
-99.000         99.000         -20.000        2.5545E-4      -4.3637E-4     -1.7553E-4
-77.000         99.000         -20.000        2.2709E-4      -6.0730E-4     -2.0682E-4
-55.000         99.000         -20.000        1.4598E-4      -7.6575E-4     -2.4671E-4
-33.000         99.000         -20.000        1.9731E-5      -8.8286E-4     -2.9468E-4
-11.000         99.000         -20.000        -1.3633E-4     -9.3253E-4     -3.4753E-4
11.000          99.000         -20.000        -2.9355E-4     -9.0609E-4     -3.9863E-4
33.000          99.000         -20.000        -4.4724E-4     -8.1338E-4     -4.3945E-4
55.000          99.000         -20.000        -5.9551E-4     -6.1971E-4     -4.6925E-4
77.000          99.000         -20.000        -6.5476E-4     -3.1048E-4     -4.8255E-4
99.000          99.000         -20.000        -5.6118E-4     -3.9256E-6     -4.6207E-4
